Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-K34685430-001-01-1	BRD-K34685430	METHYLERGOMETRINE	Biomol International Inc.									
BRD-K34685430-050-04-2	BRD-K34685430	Methylergometrine maleate	Prestwick Chemical Inc.									
BRD-K34776109-001-03-4	BRD-K34776109	Glimepiride	Prestwick Chemical Inc.	yes				"MeSH:D003924 (Diabetes Mellitus, Type 2)"				
BRD-K34782918-001-02-5	BRD-K34782918	PROSTAGLANDIN A2	Biomol International Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K34820100-001-02-1	BRD-K34820100	TEBUTHIURON	MicroSource Discovery Systems Inc.									
BRD-K34844053-001-02-8	BRD-K34844053	COSMOSIIN HEXAACETATE	MicroSource Discovery Systems Inc.									
BRD-K35133923-001-02-3	BRD-K35133923	"3,7-DIHYDROXYFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K35189033-001-03-0	BRD-K35189033	Norgestrel-(-)-D	Prestwick Chemical Inc.									
BRD-K35240538-001-03-1	BRD-K35240538	"Methylprednisolone, 6-alpha"	Prestwick Chemical Inc.									
BRD-K35531059-001-02-4	BRD-K35531059	Molsidomine	Prestwick Chemical Inc.									
BRD-K35568433-001-02-3	BRD-K35568433	"2,6-DIHYDROXY-4-METHOXYTOLUENE"	MicroSource Discovery Systems Inc.									
BRD-K35586044-003-03-0	BRD-K35586044	Yohimbine hydrochloride	Prestwick Chemical Inc.									
BRD-K35708212-331-03-1	BRD-K35708212	Strophantine octahydrate	Prestwick Chemical Inc.									
BRD-K35941380-001-01-7	BRD-K35941380	METHYSERGIDE	Biomol International Inc.	yes		GeneID:3358 (inhibits HTR2C)						
BRD-K35960502-001-06-9	BRD-K35960502	Niclosamide	Prestwick Chemical Inc.	yes				MeSH:D006373 (Helminthiasis)	UseClass:8109 (anti-helminthic)			
BRD-K36007650-300-02-3	BRD-K36007650	Puromycin dihydrochloride	Prestwick Chemical Inc.									
BRD-K36055864-001-05-1	BRD-K36055864	Cycloheximide	Prestwick Chemical Inc.									
BRD-K36116267-001-05-4	BRD-K36116267	Pyrithyldione	Prestwick Chemical Inc.	yes					UseClass:8115 (hypnotic);UseClass:8116 (sedative)			
BRD-K36137799-001-02-4	BRD-K36137799	PLUMBAGIN	MicroSource Discovery Systems Inc.									
BRD-K36377456-001-02-0	BRD-K36377456	MARMESIN	MicroSource Discovery Systems Inc.									
BRD-K36383661-001-01-1	BRD-K36383661	BERGAPTOL	MicroSource Discovery Systems Inc.									
BRD-K36638198-001-02-8	BRD-K36638198	FELAMIDIN	MicroSource Discovery Systems Inc.									
BRD-K36638830-001-02-2	BRD-K36638830	Anabasine	Prestwick Chemical Inc.									
BRD-K36646537-001-01-3	BRD-K36646537	IPRIFLAVONE	MicroSource Discovery Systems Inc.									
BRD-K36851334-001-03-0	BRD-K36851334	TRIM	Biomol International Inc.	yes			GO:0004517 (inhibits nitric-oxide synthase activity)					
BRD-K36862742-001-05-8	BRD-K36862742	Hydroflumethiazide	Prestwick Chemical Inc.	yes					UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-K36927236-001-06-0	BRD-K36927236	GLYBURIDE	Biomol International Inc.	yes		GeneID:3762 (inhibits KCNJ5)	GO:0015272 (inhibits ATP-activated inward rectifier potassium channel activity);GO:0005267 (inhibits potassium channel activity)	"MeSH:D003924 (Diabetes Mellitus, Type 2)"	UseClass:8094 (vasoconstrictor)			
BRD-K36965586-001-01-7	BRD-K36965586	m-CHLOROPHENYLBIGUANIDE	Biomol International Inc.									
BRD-K37049577-001-05-1	BRD-K37049577	Isocorydine (+)	Prestwick Chemical Inc.									
BRD-K37249724-001-05-9	BRD-K37249724	Astemizole	Prestwick Chemical Inc.	yes		GeneID:3269 (binds HRH1);GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K37270826-001-04-5	BRD-K37270826	Mifepristone	Prestwick Chemical Inc.	yes		GeneID:5243 (inhibits ABCB1)	GO:0001525 (inhibits angiogenesis);GO:0004883 (inhibits glucocorticoid receptor activity)					
BRD-K37282009-001-02-3	BRD-K37282009	YOHIMBIC ACID	MicroSource Discovery Systems Inc.									
BRD-K37282009-002-03-9	BRD-K37282009	Yohimbinic acid monohydrate	Prestwick Chemical Inc.									
BRD-K37289225-001-09-1	BRD-K37289225	CLOZAPINE	Biomol International Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:1813 (inhibits DRD2);GeneID:1815 (inhibits DRD4)			UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8115 (hypnotic);UseClass:8116 (sedative)			
BRD-K37447567-001-01-8	BRD-K37447567	HYDROCOTARNINE	MicroSource Discovery Systems Inc.									
BRD-K37447567-004-05-3	BRD-K37447567	Hydrocotarnine hydrobromide	Prestwick Chemical Inc.									
BRD-K37561857-001-04-9	BRD-K37561857	zardaverine	Biomol International Inc.	yes	CBPROTID:1000641 (inhibits cAMP phosphodiesterase III)		"GO:0004115 (inhibits 3',5'-cyclic-AMP phosphodiesterase activity)"					
BRD-K37595074-001-02-8	BRD-K37595074	PROPAZINE	MicroSource Discovery Systems Inc.									
BRD-K37682401-001-05-1	BRD-K37682401	Piromidic acid	Prestwick Chemical Inc.	yes				MeSH:D016905 (Gram-Negative Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K37688416-003-05-7	BRD-K37688416	Fipexide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8113 (cns agent)			
BRD-K37694030-003-02-8	BRD-K37694030	DOXEPIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1);GeneID:3274 (inhibits HRH2)		MeSH:D003863 (Depression);MeSH:D011537 (Pruritus)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine);UseClass:8122 (anti-pruritic);UseClass:8116 (sedative)			
BRD-K37846922-001-05-2	BRD-K37846922	DIINDOLYLMETHANE	Biomol International Inc.	yes		GeneID:196 (affects AHR)	"GO:0006915 (activates apoptosis);""GO:0016712 (inhibits oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)"""		UseClass:8137 (anti-oxidant)			
BRD-K37848908-001-03-1	BRD-K37848908	Ceforanide	Prestwick Chemical Inc.									
BRD-K37883585-001-01-2	BRD-K37883585	N-(4-BROMOBENZYL)-5-METHOXYTRYPTAMINE	Biomol International Inc.									
BRD-K38003476-001-03-4	BRD-K38003476	Clocortolone pivalate	Prestwick Chemical Inc.									
BRD-K38055836-001-03-9	BRD-K38055836	Ethamivan	Prestwick Chemical Inc.									
BRD-K38197229-001-06-7	BRD-K38197229	bumetanide	Biomol International Inc.	yes		GeneID:6557 (binds SLC12A1)	GO:0006816 (inhibits calcium ion transport);GO:0006813 (inhibits potassium ion transport);GO:0006814 (inhibits sodium ion transport)		UseClass:8153 (diuretic)			
BRD-K38251852-001-02-5	BRD-K38251852	PAXILLINE	Biomol International Inc.	yes			GO:0015269 (inhibits calcium-activated potassium channel activity)					
BRD-K38305202-001-02-6	BRD-K38305202	DOMPERIDONE	Biomol International Inc.	yes		GeneID:1813 (inhibits DRD2)						
BRD-K38323065-001-05-8	BRD-K38323065	Phenacetin	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D009437 (Neuralgia)	UseClass:8075 (anti-pyretic)			
BRD-K38347298-001-02-3	BRD-K38347298	8-CYCLOPENTYLTHEOPHYLLINE	MicroSource Discovery Systems Inc.	yes		GeneID:134 (activates ADORA1)						
BRD-K38436528-003-05-5	BRD-K38436528	Imipramine hydrochloride	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-K38449220-001-03-8	BRD-K38449220	Seneciphylline	Prestwick Chemical Inc.									
BRD-K38756014-001-02-8	BRD-K38756014	S-FARNESYL-L-CYSTEINE	Biomol International Inc.									
BRD-K38775274-001-02-3	BRD-K38775274	dexamethasone	Biomol International Inc.									
BRD-K38903228-001-02-8	BRD-K38903228	Hesperidin	Prestwick Chemical Inc.									
BRD-K39187410-001-01-7	BRD-K39187410	"R(-)-2,10,11-TRIHYDROXYAPORPHINE"	Biomol International Inc.									
BRD-K39188321-001-03-9	BRD-K39188321	Betamethasone	Prestwick Chemical Inc.									
BRD-K39339537-001-03-8	BRD-K39339537	Epirizole	Prestwick Chemical Inc.									
BRD-K39356024-001-02-4	BRD-K39356024	Pregnenolone 16alpha carbonitrile	Biomol International Inc.									
BRD-K39915878-036-05-3	BRD-K39915878	Loxapine succinate	Prestwick Chemical Inc.									
BRD-K39965020-001-02-6	BRD-K39965020	DOCOSAHEXAENOIC ACID (22:6 n-3)	Biomol International Inc.									
BRD-K39987650-001-05-0	BRD-K39987650	Bisacodyl	Prestwick Chemical Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)			
BRD-K40227168-001-06-1	BRD-K40227168	Eburnamonine (-)	Prestwick Chemical Inc.	yes					UseClass:8092 (vasodilator)			
BRD-K40530731-001-02-5	BRD-K40530731	Hyoscyamine (L)	Prestwick Chemical Inc.									
BRD-K40887525-001-02-9	BRD-K40887525	RITANSERIN	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)	GeneID:1813 (inhibits DRD2);GeneID:3357 (inhibits HTR2B)		MeSH:D006973 (Hypertension);MeSH:D010300 (Parkinson Disease)	UseClass:8091 (anti-hypertensive);UseClass:8113 (cns agent)			
BRD-K40901640-001-01-0	BRD-K40901640	CINANSERIN	Biomol International Inc.									
BRD-K40902647-001-03-7	BRD-K40902647	Vincamine	Prestwick Chemical Inc.									
BRD-K40919711-001-02-4	BRD-K40919711	BAPTA-AM	Biomol International Inc.	yes			GO:0006611 (inhibits protein export from nucleus)					
BRD-K40965114-001-01-2	BRD-K40965114	CYANOPINDOLOL	Biomol International Inc.									
BRD-K41321810-001-02-2	BRD-K41321810	"5,7-DIMETHOXYISOFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K41406082-001-05-5	BRD-K41406082	Sulfapyridine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K41567533-001-02-6	BRD-K41567533	COUMOPHOS	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)			
BRD-K41707108-001-03-1	BRD-K41707108	C2 CERAMIDE	Biomol International Inc.	yes		GeneID:5601 (activates MAPK9);GeneID:29477 (Mapt)	GO:0000187 (activates activation of MAPK activity);GO:0006915 (activates apoptosis);GO:0008283 (activates cell proliferation);GO:0006928 (activates cellular component movement);GO:0006309 (activates DNA fragmentation involved in apoptotic nuclear change);GO:0050115 (activates myosin-light-chain-phosphatase activity);GO:0051092 (activates positive regulation of NF-kappaB transcription factor activity);GO:0004722 (activates protein serine/threonine phosphatase activity);GO:0016462 (activates pyrophosphatase activity);GO:0030154 (affects cell differentiation);GO:0008283 (affects cell proliferation);GO:0008104 (affects protein localization);GO:0030036 (inhibits actin cytoskeleton organization);GO:0016049 (inhibits cell growth);GO:0031175 (inhibits neuron projection development);GO:0048812 (inhibits neuron projection morphogenesis);GO:0004630 (inhibits phospholipase D activity);GO:0006366 (inhibits transcription from RNA polymerase II promoter)					
BRD-K41713976-001-02-0	BRD-K41713976	E-4031	Biomol International Inc.	yes			GO:0005242 (inhibits inward rectifier potassium channel activity)					
BRD-K41762421-001-02-8	BRD-K41762421	"IRIGENIN, DIBENZYL ETHER"	MicroSource Discovery Systems Inc.									
BRD-K41876534-001-02-0	BRD-K41876534	TIOXOLONE	MicroSource Discovery Systems Inc.									
BRD-K41996876-001-05-5	BRD-K41996876	tyrphostin 1	Biomol International Inc.	yes		GeneID:7297 (affects TYK2);GeneID:1956 (inhibits EGFR)	GO:0006468 (inhibits protein phosphorylation)					
BRD-K42017082-001-02-6	BRD-K42017082	ZEARALENONE	MicroSource Discovery Systems Inc.									
BRD-K42095107-001-05-6	BRD-K42095107	DAIDZEIN	Biomol International Inc.	yes			GO:0004683 (inhibits calmodulin-dependent protein kinase activity)	MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic);UseClass:8137 (anti-oxidant)			
BRD-K42142750-001-04-9	BRD-K42142750	Retrorsine	Prestwick Chemical Inc.									
BRD-K42221274-001-01-4	BRD-K42221274	NO-711	Biomol International Inc.									
BRD-K42348709-003-05-7	BRD-K42348709	Cyclobenzaprine hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)		GO:0007210 (affects serotonin receptor signaling pathway)		UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K42352790-001-03-8	BRD-K42352790	"ANANDAMIDE (20:4, n-6)"	Biomol International Inc.									
BRD-K42596464-048-03-6	BRD-K42596464	Oxalamine citrate salt	Prestwick Chemical Inc.									
BRD-K42635745-001-02-4	BRD-K42635745	Suloctidil	Prestwick Chemical Inc.									
BRD-K42859542-001-01-7	BRD-K42859542	"1-(4'-AMINOPHENYL)-3,5-DIHYDRO-7,8-DIMETHOXY-4H-2,3-BENZODIAZEPIN-4-ONE"	Biomol International Inc.									
BRD-K43149758-001-04-5	BRD-K43149758	Myricetin	Prestwick Chemical Inc.	yes			GO:0004691 (inhibits cAMP-dependent protein kinase activity);GO:0004428 (inhibits inositol or phosphatidylinositol kinase activity);GO:0004697 (inhibits protein kinase C activity)					
BRD-K43224838-001-02-4	BRD-K43224838	KOPARIN 2'-METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K43245338-001-02-4	BRD-K43245338	MDL-28170	Biomol International Inc.									
BRD-K43285163-001-01-2	BRD-K43285163	"2',5'-DIHYDROXY-4-METHOXYCHALCONE"	MicroSource Discovery Systems Inc.									
BRD-K43290182-001-01-9	BRD-K43290182	RO 04-6790	Biomol International Inc.									
BRD-K43383936-001-02-9	BRD-K43383936	FLOPROPIONE	MicroSource Discovery Systems Inc.	yes		GeneID:3350 (inhibits HTR1A)		MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K43714461-001-02-8	BRD-K43714461	DICHLOBENIL	MicroSource Discovery Systems Inc.									
BRD-K43736954-001-03-3	BRD-K43736954	Cortisone	Prestwick Chemical Inc.									
BRD-K43797669-001-03-1	BRD-K43797669	GENISTEIN	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)	GeneID:57468 (inhibits SLC12A5)	GO:0004713 (inhibits protein tyrosine kinase activity)		UseClass:8066 (anti-neoplastic)			
BRD-K43860855-065-03-6	BRD-K43860855	Iobenguane sulfate	Prestwick Chemical Inc.									
BRD-K44067360-001-06-3	BRD-K44067360	FLUFENAMIC ACID	Biomol International Inc.	yes			GO:0006816 (inhibits calcium ion transport)	MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8065 (anti-proliferative)			
BRD-K44204252-001-02-2	BRD-K44204252	L-PHENYLALANINOL	MicroSource Discovery Systems Inc.									
BRD-K44273375-001-04-5	BRD-K44273375	Tolnaftate	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal)			
BRD-K44849676-001-03-0	BRD-K44849676	capsazepine	Biomol International Inc.	yes		GeneID:7442 (inhibits TRPV1)	GO:0005245 (inhibits voltage-gated calcium channel activity)					
BRD-K44876623-001-01-1	BRD-K44876623	ZOLPIDEM	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000342 (activates Gamma-aminobutyric acid receptor)	GeneID:706 (activates TSPO)		MeSH:D007319 (Sleep Initiation and Maintenance Disorders)	UseClass:8113 (cns agent)			
BRD-K44899736-003-02-1	BRD-K44899736	N- (2-AMINOETHYL)-4-CHLOROBENZAMIDE (RO-16-6491)	MicroSource Discovery Systems Inc.									
BRD-K45033733-001-02-3	BRD-K45033733	FAMCICLOVIR	MicroSource Discovery Systems Inc.	yes				MeSH:D006566 (Herpesviridae Infections)	UseClass:8106 (anti-viral)			
BRD-K45071273-003-05-8	BRD-K45071273	Tetracaine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)			
BRD-K45158365-001-02-3	BRD-K45158365	VALSARTAN	MicroSource Discovery Systems Inc.									
BRD-K45401373-001-05-0	BRD-K45401373	Betulinic acid	Biomol International Inc.	yes				MeSH:D014777 (Virus Diseases)	UseClass:8106 (anti-viral)			
BRD-K45435259-001-01-6	BRD-K45435259	SCH 23390	Biomol International Inc.									
BRD-K45479396-001-01-8	BRD-K45479396	BP 554	Biomol International Inc.									
BRD-K45535217-001-02-2	BRD-K45535217	ATRAZINE	MicroSource Discovery Systems Inc.									
BRD-K45542189-048-05-6	BRD-K45542189	Diethylcarbamazine citrate	Prestwick Chemical Inc.	yes				MeSH:D010272 (Parasitic Diseases)	UseClass:8107 (anti-parasitic)			
BRD-K45662124-001-01-8	BRD-K45662124	3'-FLUOROBENZYLSPIPERONE	Biomol International Inc.									
BRD-K45861246-001-05-0	BRD-K45861246	Azaperone	Prestwick Chemical Inc.									
BRD-K46018455-001-06-0	BRD-K46018455	bezafibrate	Biomol International Inc.									
BRD-K46068882-001-02-7	BRD-K46068882	EUGENITOL	MicroSource Discovery Systems Inc.									
BRD-K46137903-001-03-3	BRD-K46137903	Prednicarbate	Prestwick Chemical Inc.									
BRD-K46211610-003-05-1	BRD-K46211610	Tolazoline hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8092 (vasodilator)			
BRD-K46272620-001-02-2	BRD-K46272620	VALYLTRYPTOPHAN	MicroSource Discovery Systems Inc.									
BRD-K46317332-003-06-1	BRD-K46317332	Proadifen hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4842 (inhibits NOS1)	GO:0032310 (activates prostaglandin secretion);GO:0017144 (inhibits drug metabolic process);GO:0006809 (inhibits nitric oxide biosynthetic process);GO:0005267 (inhibits potassium channel activity)					
BRD-K46435977-003-01-2	BRD-K46435977	VALACYCLOVIR HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D006566 (Herpesviridae Infections)	UseClass:8106 (anti-viral)			
BRD-K46441700-001-01-8	BRD-K46441700	GR 55562	Biomol International Inc.									
BRD-K46523383-003-04-7	BRD-K46523383	Pramoxine hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)			
BRD-K46556543-237-03-0	BRD-K46556543	Canrenoic acid potassium salt	Prestwick Chemical Inc.									
BRD-K46585355-001-05-1	BRD-K46585355	Acetylsalicylsalicylic acid	Prestwick Chemical Inc.									
BRD-K46937689-001-05-1	BRD-K46937689	Antipyrine	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)			
BRD-K46982791-001-02-9	BRD-K46982791	CLOXYQUIN	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal)			
BRD-K47105409-001-05-3	BRD-K47105409	AG-490	Biomol International Inc.	yes		GeneID:3717 (inhibits JAK2);GeneID:16453 (inhibits Jak3);GeneID:3718 (inhibits JAK3);GeneID:20846 (inhibits Stat1);GeneID:20848 (inhibits Stat3)	GO:0006915 (activates apoptosis);GO:0007165 (affects signal transduction);GO:0050798 (inhibits activated T cell proliferation);GO:0018108 (inhibits peptidyl-tyrosine phosphorylation);GO:0042098 (inhibits T cell proliferation);GO:0042508 (inhibits tyrosine phosphorylation of Stat1 protein);GO:0042503 (inhibits tyrosine phosphorylation of Stat3 protein);GO:0042506 (inhibits tyrosine phosphorylation of Stat5 protein)					
BRD-K47114202-001-06-2	BRD-K47114202	Chlorogenic acid	Prestwick Chemical Inc.									
BRD-K47192521-001-02-1	BRD-K47192521	EICOSAPENTAENOIC ACID (20:5 n-3)	Biomol International Inc.	yes				MeSH:D002318 (Cardiovascular Diseases);MeSH:D007249 (Inflammation)				
BRD-K47278471-003-05-7	BRD-K47278471	Diphenhydramine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K47323024-003-05-3	BRD-K47323024	Methapyrilene hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine);UseClass:8116 (sedative)			
BRD-K47328134-001-02-0	BRD-K47328134	LYSYLPHENYLALANYLTYROSINE	MicroSource Discovery Systems Inc.									
BRD-K47407372-001-05-6	BRD-K47407372	Nifenazone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)			
BRD-K47467075-001-02-7	BRD-K47467075	NORHARMAN	MicroSource Discovery Systems Inc.									
BRD-K47598052-001-04-2	BRD-K47598052	PP1	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	GO:0004713 (inhibits protein tyrosine kinase activity)					
BRD-K47608922-001-02-1	BRD-K47608922	DIPYROCETYL	MicroSource Discovery Systems Inc.									
BRD-K47631482-003-02-1	BRD-K47631482	BROMHEXINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8137 (anti-oxidant);UseClass:8087 (expectorant);UseClass:8086 (mucolytic)			
BRD-K47635719-001-03-9	BRD-K47635719	Dexamethasone acetate	Prestwick Chemical Inc.									
BRD-K47639036-003-03-3	BRD-K47639036	Flavoxate hydrochloride	Prestwick Chemical Inc.									
BRD-K47693913-001-02-4	BRD-K47693913	Evoxine	Prestwick Chemical Inc.									
BRD-K47724892-001-02-2	BRD-K47724892	"6,3'-DIMETHOXYFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K47814830-001-02-6	BRD-K47814830	DUARTIN (-)	MicroSource Discovery Systems Inc.									
